Author;Year;ControlGroup_ID;wait;Attention;TAU;Study_ID;Autonomous;Sex_(Female);Age_(mean);Outcome_ID;d;v;Thinking;DSH;Spesific;NSSI;Suicide;Follow_up;Duration (weeks);Total Attrition (%);Follow_up Time;n;outcome.dummy
Amadeo;2015;3;0;0;1;1;0;64;32;1;0.172;0.0356;0;1;SA, SH;0;0;0;78;0;NA;190;1
Batterham;2018;2;0;1;0;2;0;86;NA;2;-0.315;0.0196;1;0;SI;0;0;0;1.5;59;NA;54;1
Batterham;2018;2;0;1;0;2;0;86;NA;3;-0.305;0.0196;1;0;SI;0;0;1;13.5;66;12;45;1
Beautrais;2010;3;0;0;1;3;1;66;33.8;4;-0.02;0.0031;0;1;SH;0;0;0;52;0;NA;327;1
Beautrais;2010;3;0;0;1;3;1;66;33.8;5;0.04;0.0031;0;1;SH;0;0;0;52;0;NA;327;1
Bertolote;2010;3;0;0;1;4;0;61;NA;6;0.012;0.0105;0;1;SA;0;0;0;78;9;NA;1663;1
Bush;2017;3;0;0;1;5;1;32;47;7;-0.015;0.0358;1;0;SI;0;0;0;12;10;NA;112;1
Carter;2005;3;0;0;1;6;1;68;NA;8;-0.059;0.0052;0;1;DSP (Deliberate self poisining);0;0;0;52;0;NA;524;1
Carter;2007;3;0;0;1;6;1;68;38.7;9;-0.0539;0.0111;0;1;DSP (Deliberate self poisining);0;0;1;104;0;;247;1
Carter;2013;3;0;0;1;6;1;68;NA;10;-0.0486;0.0076;0;1;DSP (Deliberate self poisining);0;0;1;260;0;208;248;1
Cedereke;2002;3;0;0;1;7;0;66;41;11;-0.255;0.0235;1;0;SI;0;0;1;34;31.5;17;120;1
Cedereke;2002;3;0;0;1;7;0;66;41;12;-0.015;0.0506;0;1;SA;0;0;1;34;31.5;17;120;1
Christensen;2013;1;1;0;0;8;1;81.9;41.49;13;-0.354;0.0196;1;0;SI;0;0;1;32;39.4;26;54;1
Christensen;2013;1;1;0;0;8;1;81.9;41.49;14;-0.099;0.0196;1;0;SI;0;0;0;6;28.94;NA;45;1
Comtois;2019;3;0;0;1;9;0;18;25.2;15;-0.0087;0.0088;1;0;SI;0;0;0;52;30;NA;461;1
Comtois;2019;3;0;0;1;9;0;18;25.2;16;-0.2776;0.026;0;1;SA;0;0;0;52;30;NA;461;1
Comtois;2019;3;0;0;1;9;0;18;25.2;17;-0.0535;0.006;1;0;SI;0;0;0;52;30;NA;461;1
De Jaegere et al;2019;1;1;0;0;10;1;59.4;35.7;18;-0.339;0.0056;1;0;SI;0;0;0;6;63;NA;267;1
De Jaegere et al;2019;1;1;0;0;10;1;59.4;35.7;19;-0.249;0.0056;1;0;SI;0;0;1;12;66;6;247;1
Evans;2005;3;0;0;1;11;0;55;33.5;20;-0.096;0.0012;0;1;DSH;0;0;1;52;NA;26;827;1
Evans;2005;3;0;0;1;11;0;55;33.5;21;0.064;0.0012;0;1;DSH;0;0;1;52;NA;26;827;1
Evans;2005;3;0;0;1;11;0;55;33.5;22;-0.1;0.0012;0;1;DSH;0;0;1;52;NA;26;827;1
Evans;1999;3;0;0;1;11;0;55;33.5;23;-0.1;0.0012;0;1;DSH;0;0;0;26;NA;NA;827;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;24;-0.6317;0.0747;0;1;NSSI;1;0;0;4;49;NA;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;25;0.249;0.0763;0;1;DSH;0;0;1;6;52;2;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;26;-0.098;0.0758;1;0;SI;0;0;1;6;52;2;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;27;-0.344;0.0769;1;0;SP ;0;0;1;6;52;2;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;28;0.0671;0.0758;0;1;NSSI;1;0;1;6;52;2;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;29;-0.556;0.073;0;1;DSH;0;0;0;4;49;NA;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.02;30;-0.357;0.0714;1;0;SI;0;0;0;4;49;NA;58;1
Franklin-1;2016;2;0;1;0;12;1;80.7;23.03;31;-0.53;0.0728;1;0;SP ;0;0;0;4;49;NA;58;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;32;0.2;0.0452;0;1;DSH;0;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;33;0.096;0.0451;0;1;DSH;0;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;34;0.402;0.0459;1;0;SI;0;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;35;0.208;0.0452;1;0;SP ;0;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;36;0.0174;0.045;0;1;NSSI-Ep;1;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;37;-0.1445;0.045116;0;1;NSSI-Ev;1;0;1;6;39;2;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;38;-0.012;0.042;0;1;DSH;0;0;0;4;27;NA;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;39;-0.159;0.0421;0;1;DSH;0;0;0;4;27;NA;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;40;0.295;0.0424;1;0;SI;0;0;0;4;27;NA;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;41;-0.237;0.0423;1;0;SP ;0;0;0;4;27;NA;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;42;-0.0242;0.0419;0;1;NSSI-Ep;1;0;0;4;27;NA;90;1
Franklin-2;2016;2;0;1;0;13;1;74.1;22.9;43;-0.0907;0.042;0;1;NSSI-Ev;1;0;0;4;27;NA;90;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;44;-0.075;0.0486;0;1;DSH;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;45;-0.186;0.0488;0;1;DSH;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;46;0.253;0.049;1;0;SI;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;47;0.119;0.0487;1;0;SP ;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;48;-0.1466;0.036948;0;1;NSSI-Ep;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;49;0.0276;0.0511;0;1;NSSI-Ev;0;0;1;6;45;2;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;50;-0.122;0.0369;0;1;DSH;0;0;0;4;33;NA;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;51;-0.17;0.037;0;1;DSH;0;0;0;4;33;NA;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;52;0.099;0.0369;1;0;SI;0;0;0;4;33;NA;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;53;-0.154;0.037;1;0;SP ;0;0;0;4;33;NA;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;54;0.0102;0.03685;0;1;NSSI-Ep;0;0;0;4;33;NA;109;1
Franklin-3;2016;2;0;1;0;14;1;58.6;24.5;55;0.1818;0.05134;0;1;NSSI-Ev;0;0;0;4;33;NA;109;1
Guille;2015;2;0;1;0;15;1;49.3;25.2;56;-0.374;0.0472;1;0;SP ;0;0;0;52;17;NA;199;1
Hassanian-Moghaddam;2015;3;0;0;1;16;1;66.4;24;57;-0.2385;0.0025;1;0;SI;0;0;1;104;13;52;1991;1
Hassanian-Moghaddam;2015;3;0;0;1;16;1;66.4;24;58;-0.1035;0.002;0;1;SA;0;0;1;104;13;52;1991;1
Hassanian-Moghaddam;2015;3;0;0;1;16;1;66.4;24;59;-0.0077;0.002;0;1;SH;0;0;1;104;13;52;1991;1
Hassanian-Moghaddam;2015;3;0;0;1;16;1;66.4;24;60;-0.008;0.006;1;0;SI;0;0;1;104;13;52;1991;1
