Author;Year;ControlGroup_ID;wait;Attention;TAU;Study_ID;Intervention_Type;Sex_(Female);Age_(mean);Outcome_ID;g;v;Thinking;DSH;Spesific;Follow_up;Duration (weeks);Total Attrition (%)
De Jaegere et al;2019;1;1;0;0;1;1;59.4;35.7;1;0.339036827195467;0.0056;1;0;SI;0;6;63
De Jaegere et al;2019;1;1;0;0;1;1;59.4;35.7;1;0.24923391215526;0.0056;1;0;SI;1;12;66
Mouaffak et al.;2015;1;1;0;0;2;0;73.5;39;2;0.025536159600998;0.032967;0;1;SA;0;52;5
Hetrick et al.;2017;3;0;0;1;3;1;82;14.7;3;0.137142857142857;0.1;1;0;SI;0;10;22
Hetrick et al.;2017;3;0;0;1;3;1;82;14.7;3;0.336648648648649;0.1;1;0;SI;1;22;40
Kennard;2018;3;0;0;1;4;1;89.4;15.1;4;0.355324675324675;0.0688;0;1;SA;1;13;9
Kennard;2018;3;0;0;1;4;1;89.4;15.1;5;0.177662337662338;0.0672;1;0;SI;1;13;9
Kennard;2018;3;0;0;1;4;1;89.4;15.1;6;-0.078961038961039;0.067;0;1;SB;1;13;9
Carter;2005;3;0;0;1;5;1;0;NA;7;0.00996935648621;0.0162;0;1;DSP (Deliberate self poisining);0;52;0
Carter;2005;3;0;0;1;5;1;100;NA;8;0.249640632486823;0.0077;0;1;DSP (Deliberate self poisining);0;104;0
Carter;2013;3;0;0;1;5;1;100;NA;7;0.225675131768088;0.0077;0;1;DSP (Deliberate self poisining);1;260;0
Carter;2013;3;0;0;1;5;1;0;NA;8;0.036887080366226;0.0162;0;1;DSP (Deliberate self poisining);1;260;0
Vaiva;2018;3;0;0;1;8;0;64.8;38.7;9;0.125893670886076;0.0045;0;1;SE (Suicidal Event) Fatal or not;0;24;14
Vaiva;2018;3;0;0;1;8;0;64.8;38.7;10;0.145876793248945;0.0047;0;1;SA &S;0;24;14
Vaiva;2018;3;0;0;1;8;0;64.9;39.3;9;0.099907720701323;0.0049;0;1;SE (Suicidal Event) Fatal or not;1;52;21
Vaiva;2018;3;0;0;1;8;0;64.9;39.3;10;0.166845893571209;0.03;0;1;SA & S;1;52;21
Vaiva;2006;3;0;0;1;9;0;73.2;36;11;0.082863411958311;0.0087;0;1;SA;1;52;7
Batterham;2018;2;0;1;0;10;0;86;NA;12;0.31536231884058;0.0196;1;0;SI;0;1.5;59
Batterham;2018;2;0;1;0;10;0;86;NA;12;0.304561403508772;0.0196;1;0;SI;1;13.5;66
Beautrais;2010;3;0;0;1;11;1;66;33.8;13;0.019953810623557;0.0031;0;1;SH;0;52;0
Beautrais;2010;3;0;0;1;11;1;66;33.8;14;-0.039907621247113;0.0031;0;1;SH;0;52;0
Comtois;2019;3;0;0;1;12;0;18;25.2;15;0.124795640326975;0.0087;1;0;SI;0;52;30
Comtois;2019;3;0;0;1;12;0;18;25.2;16;0.359910626702997;0.0088;0;1;SA;0;52;30
Comtois;2019;3;0;0;1;12;0;18;25.2;17;0.067489482288828;0.0087;1;0;SI;0;52;30
Evans;1999;3;0;0;1;13;0;55;33.5;20;0.100408608669294;0.0012;0;1;DSH;0;26;NA
Evans;2005;3;0;0;1;14;0;55;33.5;18;0.09591270081843;0.0012;0;1;DSH;1;52;NA
Evans;2005;3;0;0;1;14;0;55;33.5;19;-0.064141618672325;0.0012;0;1;DSH;1;52;NA
Evans;2005;3;0;0;1;14;0;55;33.5;20;0.099909063352531;0.0012;0;1;DSH;1;52;NA
Franklin-1;2016;2;0;1;0;15;1;80.7;23.02;21;0.556017937219731;0.073041;0;1;DSH;0;4;49
Franklin-1;2016;2;0;1;0;15;1;80.7;23.02;22;0.357228699551569;0.071433;1;0;SI;0;4;49
Franklin-1;2016;2;0;1;0;15;1;80.7;23.03;24;0.530269058295964;0.072794;1;0;SP ;0;4;49
Franklin-1;2016;2;0;1;0;15;1;80.7;23.02;21;-0.249431884057971;0.076329;0;1;DSH;1;6;52
Franklin-1;2016;2;0;1;0;15;1;80.7;23.02;22;0.097663768115942;0.075827;1;0;SI;1;6;52
Franklin-1;2016;2;0;1;0;15;1;80.7;23.02;24;0.343744927536232;0.076863;1;0;SP ;1;6;52
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;25;0.0124;0.041959;0;1;DSH;0;4;27
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;26;0.1593152;0.042092;0;1;DSH;0;4;27
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;27;-0.2954176;0.04242;1;0;SI;0;4;27
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;28;0.2372864;0.042256;1;0;SP ;0;4;27
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;25;-0.200174358974359;0.045227;0;1;DSH;1;6;39
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;26;-0.09617094017094;0.045052;0;1;DSH;1;6;39
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;27;-0.401736752136752;0.045912;1;0;SI;1;6;39
Franklin-2;2016;2;0;1;0;16;1;74.1;22.9;28;-0.208403418803419;0.045246;1;0;SP ;1;6;39
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;29;0.121639344262295;0.036918;0;1;DSH;0;4;33
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;30;0.16999718969555;0.036984;0;1;DSH;0;4;33
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;31;-0.099297423887588;0.036895;1;0;SI;0;4;33
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;32;0.153613114754098;0.036959;1;0;SP ;0;4;33
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;29;0.075104587155963;0.048645;0;1;DSH;1;6;45
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;30;0.185977981651376;0.048821;0;1;DSH;1;6;45
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;31;-0.252660550458716;0.048998;1;0;SI;1;6;45
Franklin-3;2016;2;0;1;0;17;1;58.6;24.5;32;-0.118601834862385;0.048696;1;0;SP ;1;6;45
Guille;2015;2;0;1;0;18;1;49.3;25.2;33;0.373570520965692;0.047156;1;0;SP ;0;52;17
Hassanian-Moghaddam;2011;3;0;0;1;19;1;100;24;35;0.265857474549027;0.003913;1;0;SP ;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;0;24;36;0.369608465608466;0.007686;1;0;SI;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;100;24;37;0.499732095016967;0.02938;1;0;SI;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;0;24;38;0.039957671957672;0.037681;1;0;SI;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;100;24;39;0.139924986604751;0.0029;0;1;SA;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;0;24;40;0;0.0056;0;1;SA;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;0;24;41;0;0.0056;0;1;SA;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;100;24;42;0;0.0029;0;1;SA;0;52;8
Hassanian-Moghaddam;2011;3;0;0;1;19;1;33.5;24;43;0.079971574085041;0.013918;0;1;SH;0;52;8
Hassanian-Moghaddam;2015;3;0;0;1;20;1;100;24;35;0.234466679295321;0.0031;0;1;SH;1;104;13
Hassanian-Moghaddam;2015;3;0;0;1;20;1;0;24;36;0.029966752862948;0.006;0;1;SH;1;104;13
Hassanian-Moghaddam;2015;3;0;0;1;20;1;100;24;37;0.152513213270142;0.003;1;0;SI;1;104;13
Hassanian-Moghaddam;2015;3;0;0;1;20;1;0;24;38;0.007691466568157;0.006;1;0;SI;1;104;13
Hassanian-Moghaddam;2015;3;0;0;1;20;1;33.5;24;43;0.005497936210131;0.0005;0;1;SA;1;104;13
Li;2019;1;1;0;0;21;1;7.7;27.5;44;0.113884820607176;0.019846;0;1;SA;0;17;9
Li;2019;1;1;0;0;21;1;7.7;27.5;44;0.508544243577545;0.023255;0;1;SH;1;26;12
Luxton;2020;3;0;0;1;22;1;24;32;45;0.063485816876122;0.0096;1;0;SI;0;104;32
Luxton;2020;3;0;0;1;22;1;24;32;46;0.108196622889306;0.024654;0;1;SA;0;104;32
Motto;2001;1;1;0;0;23;0;0.55;NA;47;0.034490691608958;0.008457;1;0;SI;0;260;0
